Name,Faculty Count,Publishing Count,Adjusted Publishing Count,Publishing Count Average,Adjusted Publishing Count Average
Case Western Reserve University,216,4587,1556.886869,21.23611111,7.207809577
RMIT University,151,1805,520.2088745,11.95364238,3.445091884
University of Bonn,242,6181,2059.027506,25.54132231,8.508378123
University of Crete,136,2050,680.0916667,15.07352941,5.00067402
University of Sussex,140,3273,868.5614469,23.37857143,6.204010335
IIT Gandhinagar,60,1100,301.3380952,18.33333333,5.022301587
Vanderbilt University,136,1795,605.7940476,13.19852941,4.454367997
Ohio State University,620,17695,5132.135542,28.54032258,8.277637971
University of Molise,30,436,96.45396825,14.53333333,3.215132275
University of Massachusetts Lowell,108,1133,439.8047619,10.49074074,4.072266314
Macquarie University,142,4224,1564.903824,29.74647887,11.02044946
University of Dundee,25,105,41.2,4.2,1.648
Ecole Normale Superieure de Lyon,167,1187,422.3214286,7.107784431,2.52887083
Texas State University,54,393,122.2849206,7.277777778,2.264535567
University of Denver,22,162,65.21666667,7.363636364,2.964393939
Tufts University,191,3514,1112.386394,18.39790576,5.824012535
Radboud University,132,1006,420.2845238,7.621212121,3.183973665
Auburn University,32,202,56.3,6.3125,1.759375
University of Calgary,200,2227,765.2559524,11.135,3.826279762
UNIST,109,1422,376.2809524,13.04587156,3.452118829
Brandeis University,111,1456,583.1242063,13.11711712,5.253371228
Università della Svizzera italiana,260,4987,1515.221764,19.18076923,5.827776017
Universidade NOVA de Lisboa,45,225,58.16428571,5,1.292539683
IIT Madras,146,2063,701.4896825,14.13013699,4.804723853
University of Michigan-Dearborn,25,114,33.38333333,4.56,1.335333333
Indiana State University,6,18,5.2,3,0.866666667
Binghamton University,222,4328,1223.992455,19.4954955,5.513479526
Harvard University,786,37611,11764.98515,47.85114504,14.96817449
KTH Royal Institute of Technology,258,5562,2027.959524,21.55813953,7.860308232
Tata Institute of Fundamental Research,91,1145,419.4690476,12.58241758,4.609549974
University of Nebraska,105,1095,340.3590548,10.42857143,3.241514808
Naval Postgraduate School,47,163,73.025,3.468085106,1.553723404
Bundeswehr University Munich,37,770,184.6464286,20.81081081,4.990444015
University of Amsterdam,243,8313,2735.545635,34.20987654,11.25738944
Tulane University,59,700,221.6175824,11.86440678,3.75623021
University of Wroclaw,103,609,225.6238095,5.912621359,2.190522423
IIT Guwahati,7,7,3.283333333,1,0.469047619
IIIT Bangalore,15,44,13.66428571,2.933333333,0.910952381
IIT Patna,49,1969,528.0833333,40.18367347,10.77721088
Syracuse University,102,798,222.5010462,7.823529412,2.181382806
LUMS,38,180,40.01547619,4.736842105,1.053038847
Goldsmiths University of London,16,46,12.46428571,2.875,0.779017857
EURECOM,125,2378,626.0391941,19.024,5.008313553
PUC-RS,17,85,27.75952381,5,1.632913165
Ohio University,39,339,135.4239899,8.692307692,3.472409997
TTI Chicago,303,13287,4632.767063,43.85148515,15.28966028
Paderborn University,121,2211,809.0234127,18.27272727,6.686143907
Queen's University Belfast,61,513,136.1487734,8.409836066,2.231947106
Hacettepe University,26,120,37.2,4.615384615,1.430769231
Université de Sherbrooke,43,285,106.6785714,6.627906977,2.48089701
CMI,28,106,37.42142857,3.785714286,1.336479592
Chinese Academy of Sciences,901,32616,7555.603707,36.19977802,8.385797677
Peking University,1487,48134,11584.79197,32.36987223,7.790714171
Zhejiang University,1003,31740,6724.940909,31.64506481,6.70482643
Nanjing University,688,18778,5442.376447,27.29360465,7.910430883
Bielefeld University,90,2019,612.043254,22.43333333,6.8004806
University of Duisburg-Essen,54,524,277.3452381,9.703703704,5.136022928
Heidelberg University,179,6763,1907.924549,37.78212291,10.65879636
University of Konstanz,105,2647,713.8857753,25.20952381,6.798912146
RWTH Aachen,294,9529,3575.727381,32.41156463,12.16233803
TU Ilmenau,25,147,55.95,5.88,2.238
TU Dortmund,112,2375,822.647619,21.20535714,7.345068027
Iran University of Science and Technology,3,5,2.25,1.666666667,0.75
University of Wuppertal,18,189,63.13571429,10.5,3.507539683
University of Hong Kong,338,9845,2559.603157,29.12721893,7.572790404
University of Trier,22,179,58.68571429,8.136363636,2.667532468
KAUST,251,9177,2328.290476,36.56175299,9.276057674
University of Hannover,131,2290,648.0363553,17.48091603,4.946842407
IST Austria,305,17498,5739.734055,57.3704918,18.81880018
Yonsei University,138,2792,751.2474387,20.23188406,5.443822019
University of Hamburg,133,4251,1296.703175,31.96240602,9.749647929
Stellenbosch University,30,410,121.8916667,13.66666667,4.063055556
Seoul National University,714,18026,5069.637912,25.2464986,7.10033321
TU Freiberg,11,59,13.41666667,5.363636364,1.21969697
University of Bayreuth,57,1117,431.4666667,19.59649123,7.569590643
Universidad Nacional de Córdoba,19,50,15.23333333,2.631578947,0.801754386
Renmin University of China,276,6581,1437.15653,23.8442029,5.207088875
Fudan University,556,14404,3285.378775,25.90647482,5.908954632
New Mexico State University,44,590,180.1527778,13.40909091,4.094381313
NWPU,199,9909,2553.08898,49.79396985,12.82959287
Shanghai Jiao Tong University,751,19318,4013.003116,25.72303595,5.343546094
Harbin Institute of Technology,239,9745,2067.397619,40.77405858,8.650199243
UESTC,275,7581,1528.530014,27.56727273,5.558290962
Montana State University,10,24,8.266666667,2.4,0.826666667
Friedrich Schiller University Jena,79,1106,338.8345238,14,4.289044605
University of Ulm,68,803,197.5984127,11.80882353,2.90585901
University of Guelph,59,787,246.917735,13.33898305,4.185046357
Hong Kong Baptist University,123,1863,525.1785714,15.14634146,4.269744483
University of Massachusetts Boston,20,148,35.45952381,7.4,1.77297619
Colorado School of Mines,96,2089,590.6107143,21.76041667,6.15219494
Florida International University,75,573,153.3535714,7.64,2.044714286
Illinois Institute of Technology,136,1547,541.1392857,11.375,3.978965336
Dalhousie University,69,826,288.410348,11.97101449,4.179860116
The University of Alabama,31,177,50.96984127,5.709677419,1.644188428
UFPE,45,330,85.78441558,7.333333333,1.906320346
Air Force Institute of Technology,6,26,9.5,4.333333333,1.583333333
